list_size,time
100000,2736
200000,2964
300000,3295
400000,3256
500000,3192
600000,3425
700000,3109
800000,3632
900000,3320
1000000,3896
1100000,3365
1200000,3553
1300000,3449
1400000,3634
1500000,3777
1600000,3595
1700000,3963
1800000,3774
1900000,3464
2000000,3372
2100000,3465
2200000,4051
2300000,3484
2400000,3735
2500000,3656
2600000,3717
2700000,3504
2800000,3691
2900000,3538
3000000,3526
3100000,3294
3200000,3628
3300000,3386
3400000,3707
3500000,3540
3600000,3714
3700000,3972
3800000,3817
3900000,4047
4000000,3557
4100000,3474
4200000,3510
4300000,3277
4400000,3531
4500000,3858
4600000,3445
4700000,3474
4800000,3699
4900000,3365
5000000,3576
5100000,3402
5200000,3727
5300000,3561
5400000,3907
5500000,3631
5600000,3440
5700000,3386
5800000,4025
5900000,3691
6000000,3916
6100000,3662
6200000,3558
6300000,5032
6400000,3652
6500000,3929
6600000,3671
6700000,4217
6800000,3739
6900000,3592
7000000,3542
7100000,3555
7200000,3578
7300000,3766
7400000,3604
7500000,3968
7600000,3632
7700000,3662
7800000,3437
7900000,3747
8000000,3578
8100000,3578
8200000,3647
8300000,3799
8400000,3482
8500000,3567
8600000,3467
8700000,3810
8800000,3896
8900000,3650
9000000,3976
9100000,3913
9200000,3771
9300000,3670
9400000,3936
9500000,4019
9600000,3723
9700000,3565
9800000,4018
9900000,3759
10000000,3850
