list_size,time
100000,2628
200000,3326
300000,3686
400000,3669
500000,3441
600000,3919
700000,3505
800000,3648
900000,3526
1000000,3705
1100000,3680
1200000,3642
1300000,3509
1400000,3629
1500000,3644
1600000,3892
1700000,3719
1800000,3915
1900000,3628
2000000,3681
2100000,3936
2200000,3733
2300000,3832
2400000,3784
2500000,4058
2600000,3798
2700000,3708
2800000,3717
2900000,3881
3000000,3637
3100000,3805
3200000,4080
3300000,3782
3400000,3730
3500000,3952
3600000,3781
3700000,3844
3800000,3902
3900000,3801
4000000,3875
4100000,3809
4200000,3867
4300000,4042
4400000,3867
4500000,3922
4600000,3846
4700000,4112
4800000,3836
4900000,3831
5000000,3831
5100000,3830
5200000,3862
5300000,4077
5400000,3837
5500000,3927
5600000,3868
5700000,4059
5800000,3875
5900000,3916
6000000,3825
6100000,3893
6200000,3928
6300000,3966
6400000,3917
6500000,3976
6600000,3948
6700000,3866
6800000,3933
6900000,3910
7000000,4061
7100000,4060
7200000,4274
7300000,3910
7400000,3816
7500000,3845
7600000,3964
7700000,3940
7800000,3865
7900000,4294
8000000,3922
8100000,4000
8200000,3961
8300000,3934
8400000,3920
8500000,3964
8600000,4312
8700000,3849
8800000,4011
8900000,4029
9000000,3967
9100000,3895
9200000,3930
9300000,3986
9400000,3986
9500000,3992
9600000,3982
9700000,3957
9800000,3891
9900000,4008
10000000,3927
