list_size,time
100000,7032
200000,14526
300000,21428
400000,27799
500000,35341
600000,43188
700000,51241
800000,58638
900000,65321
1000000,73224
1100000,77973
1200000,84799
1300000,91712
1400000,102256
1500000,105363
1600000,114174
1700000,121562
1800000,130942
1900000,140917
2000000,148262
2100000,148691
2200000,154462
2300000,167055
2400000,172817
2500000,180267
2600000,192608
2700000,194672
2800000,200544
2900000,210785
3000000,217353
3100000,225201
3200000,224847
3300000,244774
3400000,245976
3500000,247252
3600000,257503
3700000,269261
3800000,281403
3900000,292597
4000000,291939
4100000,298397
4200000,305065
4300000,311911
4400000,318016
4500000,332335
4600000,333488
4700000,342806
4800000,348212
4900000,370075
5000000,371357
5100000,373497
5200000,388832
5300000,392418
5400000,397242
5500000,397352
5600000,410718
5700000,418187
5800000,420182
5900000,430060
6000000,438113
6100000,449322
6200000,457229
6300000,466943
6400000,469482
6500000,477526
6600000,483744
6700000,486788
6800000,507274
6900000,503359
7000000,515165
7100000,545567
7200000,534614
7300000,556086
7400000,534058
7500000,550307
7600000,552235
7700000,564133
7800000,575220
7900000,592801
8000000,585942
8100000,590636
8200000,615673
8300000,606185
8400000,625899
8500000,625192
8600000,644676
8700000,618138
8800000,637682
8900000,668377
9000000,644577
9100000,669885
9200000,660425
9300000,705268
9400000,696384
9500000,672216
9600000,684316
9700000,696310
9800000,721171
9900000,696200
10000000,740764
