list_size,time
100000,5570
200000,11485
300000,17967
400000,24090
500000,31108
600000,35910
700000,42146
800000,48214
900000,55190
1000000,63068
1100000,70191
1200000,76146
1300000,80576
1400000,88828
1500000,99230
1600000,110712
1700000,113880
1800000,120735
1900000,125334
2000000,132775
2100000,142643
2200000,146334
2300000,150903
2400000,158314
2500000,171310
2600000,170936
2700000,179242
2800000,185619
2900000,196951
3000000,194504
3100000,201820
3200000,214560
3300000,218749
3400000,224395
3500000,229235
3600000,236614
3700000,241261
3800000,263407
3900000,245169
4000000,266388
4100000,266271
4200000,264811
4300000,282289
4400000,286162
4500000,286153
4600000,323136
4700000,297601
4800000,313564
4900000,311417
5000000,328794
5100000,332151
5200000,343875
5300000,336753
5400000,353826
5500000,369916
5600000,389278
5700000,371928
5800000,380088
5900000,393169
6000000,394839
6100000,408361
6200000,397378
6300000,417935
6400000,420222
6500000,427892
6600000,436384
6700000,439014
6800000,455584
6900000,461600
7000000,480929
7100000,468416
7200000,482943
7300000,475734
7400000,496272
7500000,497243
7600000,511148
7700000,503190
7800000,512350
7900000,527352
8000000,534136
8100000,547868
8200000,539423
8300000,586207
8400000,558457
8500000,568786
8600000,576633
8700000,578021
8800000,581688
8900000,598491
9000000,604174
9100000,613885
9200000,613853
9300000,621450
9400000,659810
9500000,628937
9600000,642066
9700000,643528
9800000,659932
9900000,676680
10000000,668519
