list_size,time
100000,3044
200000,3304
300000,3555
400000,3493
500000,3535
600000,3851
700000,3556
800000,4052
900000,3504
1000000,4094
1100000,3694
1200000,3770
1300000,3463
1400000,3797
1500000,3684
1600000,3996
1700000,4114
1800000,3890
1900000,3762
2000000,3762
2100000,3702
2200000,4010
2300000,3750
2400000,3931
2500000,4090
2600000,3803
2700000,3643
2800000,3993
2900000,3663
3000000,3841
3100000,3412
3200000,3715
3300000,3733
3400000,3735
3500000,3651
3600000,3962
3700000,4027
3800000,3884
3900000,4056
4000000,3810
4100000,3776
4200000,3668
4300000,3686
4400000,3852
4500000,4006
4600000,3755
4700000,3799
4800000,3829
4900000,3594
5000000,3855
5100000,3793
5200000,4010
5300000,3747
5400000,4196
5500000,3676
5600000,3751
5700000,3827
5800000,4125
5900000,3925
6000000,3990
6100000,3891
6200000,3795
6300000,4258
6400000,3747
6500000,4148
6600000,3921
6700000,3992
6800000,3905
6900000,3735
7000000,4001
7100000,3704
7200000,3714
7300000,4112
7400000,3995
7500000,4447
7600000,3848
7700000,3826
7800000,3653
7900000,3968
8000000,3821
8100000,3772
8200000,4025
8300000,4157
8400000,3865
8500000,3695
8600000,3669
8700000,3751
8800000,4274
8900000,4095
9000000,4315
9100000,3874
9200000,4000
9300000,3927
9400000,4073
9500000,4185
9600000,3808
9700000,3718
9800000,4028
9900000,3976
10000000,4088
