list_size,time
100000,7988
200000,6937
300000,7309
400000,9927
500000,7043
600000,9189
700000,8230
800000,8230
900000,6907
1000000,7300
1100000,7066
1200000,8110
1300000,8706
1400000,9028
1500000,6623
1600000,8220
1700000,7366
1800000,9214
1900000,8002
2000000,7635
2100000,7716
2200000,8650
2300000,6675
2400000,7431
2500000,7553
2600000,8276
2700000,6540
2800000,8441
2900000,9918
3000000,8089
3100000,8599
3200000,6453
3300000,7754
3400000,6837
3500000,10290
3600000,7077
3700000,8581
3800000,7944
3900000,8089
4000000,7886
4100000,8628
4200000,6648
4300000,8136
4400000,6864
4500000,6653
4600000,8093
4700000,6909
4800000,7542
4900000,9151
5000000,8302
5100000,7404
5200000,8324
5300000,8334
5400000,7574
5500000,8536
5600000,7964
5700000,6828
5800000,7394
5900000,8483
6000000,8171
6100000,7183
6200000,6536
6300000,7277
6400000,7018
6500000,7230
6600000,8666
6700000,7714
6800000,7570
6900000,6971
7000000,8304
7100000,6691
7200000,6093
7300000,8215
7400000,11112
7500000,7360
7600000,7442
7700000,8317
7800000,6901
7900000,7645
8000000,7298
8100000,7144
8200000,7312
8300000,8247
8400000,8492
8500000,7473
8600000,7996
8700000,8533
8800000,7829
8900000,7290
9000000,9047
9100000,8197
9200000,9174
9300000,7146
9400000,6589
9500000,8289
9600000,8137
9700000,8305
9800000,8555
9900000,6688
10000000,7028
