list_size,time
100000,2581
200000,2946
300000,3161
400000,3453
500000,3638
600000,3689
700000,3497
800000,3443
900000,3552
1000000,3543
1100000,3536
1200000,3470
1300000,3703
1400000,3935
1500000,3980
1600000,3643
1700000,3721
1800000,3625
1900000,3834
2000000,3848
2100000,3979
2200000,3799
2300000,3777
2400000,3985
2500000,3856
2600000,3697
2700000,3867
2800000,3901
2900000,3899
3000000,3837
3100000,3744
3200000,3904
3300000,3862
3400000,4081
3500000,4043
3600000,3852
3700000,3800
3800000,3898
3900000,3721
4000000,3864
4100000,3945
4200000,3876
4300000,3765
4400000,3862
4500000,3928
4600000,3839
4700000,4039
4800000,3907
4900000,4019
5000000,3938
5100000,3883
5200000,3814
5300000,3893
5400000,3911
5500000,3989
5600000,4026
5700000,3881
5800000,4074
5900000,3818
6000000,3997
6100000,3818
6200000,3945
6300000,4017
6400000,3967
6500000,3837
6600000,3871
6700000,3945
6800000,3959
6900000,3942
7000000,4123
7100000,3765
7200000,4034
7300000,3768
7400000,3884
7500000,3994
7600000,4045
7700000,3973
7800000,3909
7900000,3921
8000000,4023
8100000,4097
8200000,4040
8300000,3863
8400000,3851
8500000,3941
8600000,3890
8700000,4125
8800000,3960
8900000,3844
9000000,4017
9100000,3895
9200000,3872
9300000,3750
9400000,3911
9500000,3806
9600000,3918
9700000,3898
9800000,3964
9900000,3753
10000000,3898
