"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
{{#result}}"{{title}}";"{{name}}";"{{unit}}";{{batch}};{{median(elapsed)}};{{medianAbsolutePercentError(elapsed)}};{{median(instructions)}};{{median(branchinstructions)}};{{median(branchmisses)}};{{sumProduct(iterations, elapsed)}}
{{/result}}low probability 2 7248";"uint64_t";1;5.10215840092186e-08;0.0176007347073693;0;0;0;0.0121065
"Skip List low prob";"low probability 3 12977";"uint64_t";1;0.0049703;0.0389612900730886;0;0;0;0.0613707
"Skip List low prob";"low probability 4 28760";"uint64_t";1;0.00534;0.0978167016158875;0;0;0;0.0686201
"Skip List low prob";"low probability 5 3363";"uint64_t";1;5.07561070182241e-08;0.0160486492920307;0;0;0;0.0120314
"Skip List low prob";"low probability 6 24845";"uint64_t";1;0.012353;0.022853357621926;0;0;0;0.1622085
"Skip List low prob";"low probability 7 18560";"uint64_t";1;0.0157443;0.201662328939636;0;0;0;0.2026807
"Skip List low prob";"low probability 8 17170";"uint64_t";1;0.0124292;0.0220288949372189;0;0;0;0.1682667
"Skip List low prob";"low probability 9 19925";"uint64_t";1;0.0132115;0.0557544470904121;0;0;0;0.1641166
"Skip List low prob";"low probability 10 24770";"uint64_t";1;0.0128986;0.0536866698253468;0;0;0;0.1872131
"Skip List low prob";"low probability 11 14820";"uint64_t";1;0.0120781;0.00519717985042664;0;0;0;0.1584076
"Skip List low prob";"low probability 12 11001";"uint64_t";1;0.0132037;0.0408087655683431;0;0;0;0.1633011
"Skip List low prob";"low probability 13 29625";"uint64_t";1;0.0136306;0.121066570164328;0;0;0;0.185118
"Skip List low prob";"low probability 14 3684";"uint64_t";1;0.0008231;0.0282323547782636;0;0;0;0.0108144
"Skip List low prob";"low probability 15 8057";"uint64_t";1;0.0133367;0.102853740624664;0;0;0;0.1961005
"Skip List low prob";"low probability 16 21935";"uint64_t";1;0.0124326;0.0299390284313075;0;0;0;0.1779402
"Skip List low prob";"low probability 17 6510";"uint64_t";1;0.0008604;0.070415526250311;0;0;0;0.0122254
"Skip List low prob";"low probability 18 16953";"uint64_t";1;0.0142202;0.127316833409967;0;0;0;0.2025127
"Skip List low prob";"low probability 19 2337";"uint64_t";1;5.10535238556551e-08;0.00688314723086085;0;0;0;0.0123357
