"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
{{#result}}"{{title}}";"{{name}}";"{{unit}}";{{batch}};{{median(elapsed)}};{{medianAbsolutePercentError(elapsed)}};{{median(instructions)}};{{median(branchinstructions)}};{{median(branchmisses)}};{{sumProduct(iterations, elapsed)}}
{{/result}}0667695;0;0;0;0.0126113
"Skip List randomly";"15626";"uint64_t";1;0.0013668;0.222127368960218;0;0;0;0.013925
"Skip List randomly";"11466";"uint64_t";1;0.001417;0.183567642313897;0;0;0;0.0134768
"Skip List randomly";"8317";"uint64_t";1;0.0007386;0.0438100621820237;0;0;0;0.0117768
"Skip List randomly";"29229";"uint64_t";1;0.0013452;0.365112327732679;0;0;0;0.012588
"Skip List randomly";"31623";"uint64_t";1;0.0006879;0.00511396843950895;0;0;0;0.0108756
"Skip List randomly";"972";"uint64_t";1;0.0013338;0.322737889712603;0;0;0;0.0125443
"Skip List randomly";"14962";"uint64_t";1;0.0008684;0.14143007360673;0;0;0;0.0144802
"Skip List randomly";"7671";"uint64_t";1;0.0013542;0.31640585562847;0;0;0;0.0123378
"Skip List randomly";"17523";"uint64_t";1;0.0007082;0.0362891425226806;0;0;0;0.0119579
"Skip List randomly";"4279";"uint64_t";1;0.0007295;0.0185702317788328;0;0;0;0.0119026
"Skip List randomly";"1779";"uint64_t";1;0.001729;0.141555526211541;0;0;0;0.015871
"Skip List randomly";"26586";"uint64_t";1;0.0013604;0.212321232123212;0;0;0;0.014217
"Skip List randomly";"16370";"uint64_t";1;0.0015036;0.19013250026931;0;0;0;0.0153497
"Skip List randomly";"15379";"uint64_t";1;0.0016432;0.303404129043198;0;0;0;0.0160924
"Skip List randomly";"22652";"uint64_t";1;0.0009543;0.307797725092504;0;0;0;0.0167948
"Skip List randomly";"20941";"uint64_t";1;0.0007359;0.00808219178082204;0;0;0;0.0110969
"Skip List randomly";"11686";"uint64_t";1;0.0014222;0.295975446760061;0;0;0;0.0151847
"Skip List randomly";"711";"uint64_t";1;0.0007868;0.110515172900494;0;0;0;0.0132023
"Skip List randomly";"23262";"uint64_t";1;0.0007297;0.0581496519721579;0;0;0;0.0122145
"Skip List randomly";"6638";"uint64_t";1;0.0006951;0.0147445255474454;0;0;0;0.0122958
"Skip List randomly";"24928";"uint64_t";1;0.0014464;0.288259029623069;0;0;0;0.0133733
