"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
{{#result}}"{{title}}";"{{name}}";"{{unit}}";{{batch}};{{median(elapsed)}};{{medianAbsolutePercentError(elapsed)}};{{median(instructions)}};{{median(branchinstructions)}};{{median(branchmisses)}};{{sumProduct(iterations, elapsed)}}
{{/result}}1;1.14170591447391e-09;0.000339764205655896;0;0;0;0.0120773
"Skip List hits";"hits 3 26962";"uint64_t";1;1.8882487526532e-09;0.000623040738136274;0;0;0;0.0121129
"Skip List hits";"hits 4 5705";"uint64_t";1;1.95999337852931e-09;0.00182763300251118;0;0;0;0.0121205
"Skip List hits";"hits 5 23281";"uint64_t";1;1.67338543093589e-09;0.00581557804064414;0;0;0;0.0122612
"Skip List hits";"hits 6 9961";"uint64_t";1;1.14699318467573e-09;0.000864343804768368;0;0;0;0.0120889
"Skip List hits";"hits 7 14604";"uint64_t";1;1.32955995495734e-09;0.0049066745563731;0;0;0;0.0120998
"Skip List hits";"hits 8 18716";"uint64_t";1;3.71372798759553e-09;0.00230323040866373;0;0;0;0.0120421
"Skip List hits";"hits 9 19895";"uint64_t";1;3.1439284684165e-09;0.00209193284522798;0;0;0;0.0121034
"Skip List hits";"hits 10 14771";"uint64_t";1;2.1727046579998e-09;0.000574374601144865;0;0;0;0.0121851
"Skip List hits";"hits 11 25667";"uint64_t";1;5.61988316338282e-09;0.00297595462270039;0;0;0;0.0120892
"Skip List hits";"hits 12 17035";"uint64_t";1;3.50617379548879e-09;0.0102721268845584;0;0;0;0.0120514
"Skip List hits";"hits 13 23811";"uint64_t";1;5.49364451695564e-09;0.0033340047456721;0;0;0;0.0121252
"Skip List hits";"hits 14 30333";"uint64_t";1;7.49864839337941e-09;0.00268853061163016;0;0;0;0.0116643
"Skip List hits";"hits 15 4664";"uint64_t";1;2.3221548552199e-09;0.00127861235459827;0;0;0;0.0121207
"Skip List hits";"hits 16 6868";"uint64_t";1;4.87970599547028e-09;0.0047454944775559;0;0;0;0.0120192
"Skip List hits";"hits 17 27644";"uint64_t";1;7.33265925176947e-09;0.00255273558161111;0;0;0;0.0116654
"Skip List hits";"hits 18 32757";"uint64_t";1;8.10315177525149e-09;0.00547446865470259;0;0;0;0.011684
"Skip List hits";"hits 19 12859";"uint64_t";1;2.2886795579863e-09;0.00496272018621101;0;0;0;0.0120399
"Skip List hits";"hits 20 778";"uint64_t";1;2.29844335682076e-09;0.000834604607747498;0;0;0;0.0121039
"Skip List hits";"hits 21 1842";"uint64_t";1;3.11196718633108e-09;0.00749453883112399;0;0;0;0.0120081
"Skip List hits";"hits 22 9040";"uint64_t";1;3.53493845094727e-09;0.00144169953876367;0;0;0;0.0120999
"Skip List hits";"hits 23 22648";"uint64_t";1;4.63476050488697e-09;0.000434941996830625;0;0;0;0.0120776
"Skip List hits";"hits 24 23805";"uint64_t";1;3.12707081025157e-09;0.000336726325003447;0;0;0;0.012107
"Skip List hits";"hits 25 15350";"uint64_t";1;3.91472245693177e-09;0.0601085275061637;0;0;0;0.0127764
"Skip List hits";"hits 26 24393";"uint64_t";1;4.31021868820522e-09;0.00450700409843899;0;0;0;0.012102
"Skip List hits";"hits 27 12623";"uint64_t";1;3.65074980393651e-09;0.00647451562145468;0;0;0;0.0121189
"Skip List hits";"hits 28 19954";"uint64_t";1;5.49687794214724e-09;0.0057798107539272;0;0;0;0.0121107
"Skip List hits";"hits 29 11840";"uint64_t";1;1.776049055665e-09;0.00499919591071125;0;0;0;0.0121544
"Skip List hits";"hits 30 16944";"uint64_t";1;4.67939494335151e-09;0.0122984729488079;0;0;0;0.0121869
"Skip List hits";"hits 31 24626";"uint64_t";1;3.78876379650274e-09;0.00578197522242967;0;0;0;0.0120806
"Skip List hits";"hits 32 16118";"uint64_t";1;4.17787020414131e-09;0.00423075713837292;0;0;0;0.0121503
"Skip List hits";"hits 33 16541";"uint64_t";1;4.85797260080503e-09;0.0105666155560186;0;0;0;0.0121421
"Skip List hits";"hits 34 4639";"uint64_t";1;4.18169430270534e-09;0.00595116559166675;0;0;0;0.0121264
"Skip List hits";"hits 35 22704";"uint64_t";1;1.95167829255007e-09;0.00432474673133991;0;0;0;0.0120367
"Skip List hits";"hits 36 22386";"uint64_t";1;5.14287145325687e-09;0.00282976401794072;0;0;0;0.0119375
"Skip List hits";"hits 37 26924";"uint64_t";1;5.33575374735704e-09;0.00551192960134265;0;0;0;0.0120895
"Skip List hits";"hits 38 6270";"uint64_t";1;3.46981305735719e-09;0.00177297796151352;0;0;0;0.0120251
"Skip List hits";"hits 39 15573";"uint64_t";1;4.42792093173044e-09;0.00733215745897407;0;0;0;0.012114
"Skip List hits";"hits 40 23986";"uint64_t";1;3.29388980978484e-09;0.0240421290212362;0;0;0;0.0118841
"Skip List hits";"hits 41 22355";"uint64_t";1;6.33007060037973e-09;0.00735799133522264;0;0;0;0.0113994
"Skip List hits";"hits 42 23655";"uint64_t";1;2.48171323580392e-09;0.00500361638292377;0;0;0;0.0121108
"Skip List hits";"hits 43 1150";"uint64_t";1;3.7818972422474e-09;0.0109241393393518;0;0;0;0.0119808
