"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
{{#result}}"{{title}}";"{{name}}";"{{unit}}";{{batch}};{{median(elapsed)}};{{medianAbsolutePercentError(elapsed)}};{{median(instructions)}};{{median(branchinstructions)}};{{median(branchmisses)}};{{sumProduct(iterations, elapsed)}}
{{/result}}ap";"low level cap 2 25070";"uint64_t";1;0.0039186;0.125484677025591;0;0;0;0.0675794
"Skip List low cap";"low level cap 3 14265";"uint64_t";1;0.0016544;0.270932487220166;0;0;0;0.0161761
"Skip List low cap";"low level cap 4 2966";"uint64_t";1;6.7434075292183e-08;0.0198446208479939;0;0;0;0.0117059
"Skip List low cap";"low level cap 5 6431";"uint64_t";1;0.000829;0.130043620501636;0;0;0;0.0142539
"Skip List low cap";"low level cap 6 10757";"uint64_t";1;0.001015;0.119444138083159;0;0;0;0.0167129
"Skip List low cap";"low level cap 7 27593";"uint64_t";1;0.0123442;0.139079080926456;0;0;0;0.2025564
"Skip List low cap";"low level cap 8 27987";"uint64_t";1;0.0197753;0.103883489726085;0;0;0;0.2144396
"Skip List low cap";"low level cap 9 25892";"uint64_t";1;0.020309;0.414550758728841;0;0;0;0.1995537
"Skip List low cap";"low level cap 10 29206";"uint64_t";1;0.0205266;0.353647630803335;0;0;0;0.2393388
"Skip List low cap";"low level cap 11 13703";"uint64_t";1;0.0085889;0.276986017694645;0;0;0;0.0896425
"Skip List low cap";"low level cap 12 30638";"uint64_t";1;0.0112411;0.0600111271417391;0;0;0;0.1924583
"Skip List low cap";"low level cap 13 32052";"uint64_t";1;0.0202453;0.483659447272579;0;0;0;0.2332392
"Skip List low cap";"low level cap 14 29435";"uint64_t";1;0.0112517;0.0518359944658415;0;0;0;0.1862492
"Skip List low cap";"low level cap 15 3859";"uint64_t";1;0.0007554;0.032108211504304;0;0;0;0.0124904
"Skip List low cap";"low level cap 16 7623";"uint64_t";1;0.0007986;0.0591511936339523;0;0;0;0.0132382
"Skip List low cap";"low level cap 17 6158";"uint64_t";1;0.0014823;0.306006835526008;0;0;0;0.0162151
"Skip List low cap";"low level cap 18 17744";"uint64_t";1;0.004866;0.16020123506831;0;0;0;0.0859222
"Skip List low cap";"low level cap 19 21028";"uint64_t";1;0.0279324;0.291426310101825;0;0;0;0.2908085
"Skip List low cap";"low level cap 20 1145";"uint64_t";1;6.78439153439154e-08;0.0198407656158609;0;0;0;0.0117733
"Skip List low cap";"low level cap 21 17849";"uint64_t";1;0.0119928;0.0421815527399761;0;0;0;0.1749804
"Skip List low cap";"low level cap 22 15171";"uint64_t";1;0.0228738;0.409906353997369;0;0;0;0.272966
"Skip List low cap";"low level cap 23 12972";"uint64_t";1;0.0215158;0.415072436976161;0;0;0;0.2154438
"Skip List low cap";"low level cap 24 867";"uint64_t";1;6.735e-08;0.016381890745822;0;0;0;0.0118959
"Skip List low cap";"low level cap 25 14816";"uint64_t";1;0.0185527;0.0387052648486765;0;0;0;0.3317951
"Skip List low cap";"low level cap 26 8045";"uint64_t";1;0.0204683;0.547930622458693;0;0;0;0.2251682
"Skip List low cap";"low level cap 27 22759";"uint64_t";1;0.0235918;0.0125583711028705;0;0;0;0.3511834
"Skip List low cap";"low level cap 28 26781";"uint64_t";1;0.0249686;0.0463193195143098;0;0;0;0.3441643
"Skip List low cap";"low level cap 29 14507";"uint64_t";1;0.0201319;0.138604845824944;0;0;0;0.3323752
"Skip List low cap";"low level cap 30 30297";"uint64_t";1;0.0462667;0.23938857406832;0;0;0;0.5077537
"Skip List low cap";"low level cap 31 2290";"uint64_t";1;0.0037222;0.0855059784193642;0;0;0;0.0575118
"Skip List low cap";"low level cap 32 28879";"uint64_t";1;0.0239686;0.0352488932080769;0;0;0;0.361002
"Skip List low cap";"low level cap 33 12902";"uint64_t";1;0.0191008;0.0575976159698443;0;0;0;0.2588515
"Skip List low cap";"low level cap 34 1379";"uint64_t";1;0.0038523;0.0672669344784596;0;0;0;0.0585912
"Skip List low cap";"low level cap 35 28864";"uint64_t";1;0.0248641;0.067307403385116;0;0;0;0.4221933
"Skip List low cap";"low level cap 36 20541";"uint64_t";1;0.024458;0.0453923747649171;0;0;0;0.4012624
"Skip List low cap";"low level cap 37 32482";"uint64_t";1;0.026454;0.103468413039398;0;0;0;0.4785423
"Skip List low cap";"low level cap 38 3398";"uint64_t";1;0.0111417;0.0465719197061779;0;0;0;0.1800245
"Skip List low cap";"low level cap 39 27127";"uint64_t";1;0.0255422;0.0461683391357773;0;0;0;0.4609885
"Skip List low cap";"low level cap 40 11605";"uint64_t";1;0.0152624;0.309560173665334;0;0;0;0.2387275
